time,iqs,ids,torque,rpm,vqs,vds
0.23900001,14.551272,-19.605833,-6.792944,-938.61725,179.62924,0.0
0.24000001,14.480953,-19.58306,-6.6695914,-927.4862,179.62924,0.0
0.24100001,14.414751,-19.582209,-6.4639583,-929.5626,179.62924,0.0
0.24200001,14.37571,-19.540668,-6.3559012,-948.0919,179.62924,0.0
0.24300002,14.364315,-19.49813,-6.2717667,-948.38464,179.62924,0.0
0.24400002,14.377995,-19.402208,-6.1713576,-941.8651,179.62924,0.0
0.245,14.424908,-19.366627,-6.1992455,-949.0951,179.62924,0.0
0.246,14.450272,-19.361921,-6.264987,-944.8112,179.62924,0.0
0.24700001,14.515306,-19.421309,-6.356113,-949.37933,179.62924,0.0
0.24800001,14.546138,-19.42985,-6.5083084,-965.68335,179.62924,0.0
0.24900001,14.596381,-19.491524,-6.572505,-963.5743,179.62924,0.0
0.25,14.55752,-19.553577,-6.640781,-967.4602,179.62924,0.0
0.25100002,14.532775,-19.60811,-6.596974,-971.6914,179.62924,0.0
0.252,14.477974,-19.619293,-6.5441947,-973.6348,179.62924,0.0
0.25300002,14.443303,-19.637753,-6.4788666,-978.4726,179.62924,0.0
0.254,14.4114065,-19.600355,-6.3457537,-993.2074,179.62924,0.0
0.25500003,14.383213,-19.591896,-6.318448,-976.2463,179.62924,0.0
0.256,14.361679,-19.515224,-6.214254,-986.1029,179.62924,0.0
0.257,14.398052,-19.50836,-6.2273164,-988.52966,179.62924,0.0
0.25800002,14.428936,-19.482569,-6.2042203,-1001.71545,179.62924,0.0
0.259,14.471166,-19.467539,-6.2796407,-997.1971,179.62924,0.0
0.26000002,14.490119,-19.500748,-6.3287334,-988.6839,179.62924,0.0
0.261,14.511838,-19.55216,-6.400438,-1009.71857,179.62924,0.0
0.26200002,14.52309,-19.58168,-6.474222,-1010.7213,179.62924,0.0
0.263,14.511343,-19.629784,-6.4640226,-1011.9014,179.62924,0.0
0.264,14.486657,-19.638935,-6.46073,-1028.7192,179.62924,0.0
0.26500002,14.445976,-19.632013,-6.37124,-1012.666,179.62924,0.0
0.266,14.414018,-19.654621,-6.310226,-1019.8,179.62924,0.0
0.26700002,14.429606,-19.634092,-6.327069,-1020.4724,179.62924,0.0
0.268,14.407572,-19.623486,-6.211529,-1019.4415,179.62924,0.0
0.26900002,14.428766,-19.615643,-6.1721396,-1024.7292,179.62924,0.0
0.27,14.412419,-19.578924,-6.2148914,-1032.5817,179.62924,0.0
0.27100003,14.4337845,-19.579287,-6.1997876,-1028.4564,179.62924,0.0
0.272,14.454641,-19.577852,-6.2502313,-1038.7585,179.62924,0.0
0.273,14.458097,-19.618408,-6.2784314,-1046.858,179.62924,0.0
0.27400002,14.476633,-19.596552,-6.31109,-1040.3301,179.62924,0.0
0.275,14.484506,-19.652151,-6.335469,-1048.2814,179.62924,0.0
0.27600002,14.452505,-19.65911,-6.295383,-1053.8379,179.62924,0.0
0.277,14.454555,-19.681318,-6.311536,-1048.4155,179.62924,0.0
0.27800003,14.41129,-19.695177,-6.322888,-1054.4131,179.62924,0.0
0.279,14.394012,-19.666395,-6.24906,-1063.271,179.62924,0.0
0.28,14.424701,-19.654352,-6.189527,-1061.1077,179.62924,0.0
0.28100002,14.397893,-19.68655,-6.2148614,-1058.3387,179.62924,0.0
0.282,14.410973,-19.658573,-6.1446424,-1059.2839,179.62924,0.0
0.28300002,14.43066,-19.64061,-6.191174,-1070.7485,179.62924,0.0
0.284,14.430693,-19.625303,-6.1506505,-1079.4734,179.62924,0.0
0.28500003,14.448982,-19.644037,-6.182543,-1083.2036,179.62924,0.0
0.286,14.436478,-19.68816,-6.2373652,-1075.6404,179.62924,0.0
0.287,14.425381,-19.717947,-6.2102237,-1082.4673,179.62924,0.0
0.28800002,14.422223,-19.749727,-6.25743,-1086.4801,179.62924,0.0
0.289,14.42405,-19.727533,-6.2280216,-1095.6082,179.62924,0.0
0.29000002,14.408011,-19.731194,-6.2196507,-1099.5936,179.62924,0.0
0.291,14.381757,-19.744585,-6.1751637,-1098.1315,179.62924,0.0
0.29200003,14.414481,-19.746424,-6.175914,-1101.4767,179.62924,0.0
0.293,14.388096,-19.720484,-6.150439,-1108.3381,179.62924,0.0
0.294,14.385955,-19.719212,-6.155753,-1097.6035,179.62924,0.0
0.29500002,14.402594,-19.703203,-6.0848074,-1099.9631,179.62924,0.0
0.296,14.401269,-19.73324,-6.15214,-1114.7875,179.62924,0.0
0.29700002,14.418792,-19.740326,-6.1490717,-1112.5695,179.62924,0.0
0.298,14.415977,-19.745708,-6.1431627,-1112.4991,179.62924,0.0
0.29900002,14.39263,-19.754568,-6.168327,-1124.4427,179.62924,0.0
0.3,14.430343,-19.734304,-6.1547647,-1126.904,179.62924,0.0
0.30100003,14.390756,-19.766787,-6.1357055,-1132.4857,179.62924,0.0
0.30200002,14.399218,-19.7832,-6.1155505,-1143.5187,179.62924,0.0
0.303,14.426644,-19.779182,-6.1389995,-1132.2081,179.62924,0.0
0.30400002,14.397005,-19.773384,-6.061693,-1130.6194,179.62924,0.0
0.305,14.419015,-19.801031,-6.0754323,-1138.2982,179.62924,0.0
0.30600002,14.397114,-19.776402,-6.0767365,-1133.6846,179.62924,0.0
0.307,14.402986,-19.778263,-6.0638614,-1137.815,179.62924,0.0
0.30800003,14.383608,-19.777267,-6.0380163,-1130.5454,179.62924,0.0
0.30900002,14.39595,-19.778349,-6.0739546,-1148.7875,179.62924,0.0
0.31,14.410375,-19.79284,-6.077186,-1151.4424,179.62924,0.0
0.31100002,14.390768,-19.7903,-6.0237966,-1154.957,179.62924,0.0
0.312,14.421672,-19.80298,-6.102324,-1146.753,179.62924,0.0
0.31300002,14.398468,-19.80737,-6.029498,-1176.2302,179.62924,0.0
0.314,14.4146805,-19.816755,-6.1065335,-1161.597,179.62924,0.0
0.31500003,14.394296,-19.82636,-6.021367,-1159.6846,179.62924,0.0
0.316,14.377016,-19.83067,-6.1393046,-1176.7987,179.62924,0.0
0.317,14.358645,-19.850857,-6.0484858,-1180.2935,179.62924,0.0
0.31800002,14.392605,-19.828047,-6.0552683,-1182.5574,179.62924,0.0
0.319,14.383543,-19.81656,-5.9880357,-1183.5813,179.62924,0.0
0.32000002,14.3708,-19.831068,-5.969092,-1190.3738,179.62924,0.0
0.321,14.405181,-19.859432,-6.0035005,-1192.9573,179.62924,0.0
0.32200003,14.374089,-19.863537,-5.9867363,-1187.1858,179.62924,0.0
0.323,14.353818,-19.84862,-6.035985,-1203.4379,179.62924,0.0
0.324,14.378699,-19.840761,-6.0082355,-1185.2451,179.62924,0.0
0.32500002,14.383464,-19.862354,-6.0632615,-1200.9768,179.62924,0.0
0.326,14.373541,-19.86921,-6.0040393,-1210.658,179.62924,0.0
0.32700002,14.360944,-19.859638,-5.9606724,-1219.2108,179.62924,0.0
0.328,14.358412,-19.870253,-6.066099,-1204.4727,179.62924,0.0
0.32900003,14.376384,-19.885618,-6.00607,-1216.2065,179.62924,0.0
0.33,14.365519,-19.893152,-6.017279,-1214.8645,179.62924,0.0
0.33100003,14.366592,-19.896723,-5.9426746,-1212.3702,179.62924,0.0
0.33200002,14.380333,-19.917702,-5.9559927,-1225.5837,179.62924,0.0
0.333,14.366318,-19.911716,-5.9485097,-1222.8751,179.62924,0.0
0.33400002,14.377182,-19.87368,-6.014279,-1219.6517,179.62924,0.0
0.335,14.341486,-19.893541,-5.957862,-1211.4781,179.62924,0.0
0.33600003,14.377271,-19.897602,-5.975829,-1243.9565,179.62924,0.0
0.337,14.372806,-19.90059,-5.881199,-1240.4254,179.62924,0.0
0.33800003,14.373057,-19.910463,-5.992735,-1231.8014,179.62924,0.0
0.33900002,14.360581,-19.903921,-5.9066257,-1239.248,179.62924,0.0
0.34,14.342018,-19.910368,-5.974717,-1241.1538,179.62924,0.0
0.34100002,14.327848,-19.90253,-5.8935676,-1238.6061,179.62924,0.0
0.342,14.351012,-19.93394,-5.9674006,-1248.2488,179.62924,0.0
0.34300002,14.351145,-19.916567,-5.952252,-1246.7743,179.62924,0.0
0.344,14.353934,-19.95037,-5.9033437,-1260.6306,179.62924,0.0
0.34500003,14.354934,-19.949593,-5.938261,-1267.2821,179.62924,0.0
0.34600002,14.341106,-19.927841,-5.8832674,-1269.535,179.62924,0.0
0.347,14.348371,-19.930832,-5.9189506,-1266.3583,179.62924,0.0
0.34800002,14.364471,-19.944214,-5.9005866,-1266.4526,179.62924,0.0
0.349,14.309384,-19.966377,-5.8938026,-1270.8031,179.62924,0.0
0.35000002,14.332061,-19.984598,-5.890766,-1278.2681,179.62924,0.0
0.351,14.329177,-19.961342,-5.869459,-1277.1519,179.62924,0.0
0.35200003,14.323612,-19.957806,-5.8402042,-1268.6678,179.62924,0.0
0.35300002,14.350155,-19.989712,-5.865495,-1280.9688,179.62924,0.0
0.354,14.345889,-19.97029,-5.914566,-1281.9924,179.62924,0.0
0.35500002,14.322837,-19.959806,-5.882894,-1298.8761,179.62924,0.0
0.356,14.336854,-19.970049,-5.827685,-1290.8607,179.62924,0.0
0.35700002,14.337717,-19.98878,-5.898798,-1295.1215,179.62924,0.0
0.358,14.340873,-19.973715,-5.8490906,-1308.7396,179.62924,0.0
0.35900003,14.309406,-20.003035,-5.902628,-1307.2733,179.62924,0.0
0.36,14.314055,-19.979416,-5.8900476,-1305.9454,179.62924,0.0
0.36100003,14.313667,-20.018286,-5.9007735,-1314.8174,179.62924,0.0
0.36200002,14.335903,-20.010927,-5.8497896,-1317.8054,179.62924,0.0
0.363,14.349315,-20.010246,-5.8457375,-1311.6283,179.62924,0.0
0.36400002,14.324362,-19.997404,-5.826889,-1319.7378,179.62924,0.0
0.365,14.309425,-20.007925,-5.847421,-1323.2284,179.62924,0.0
0.36600003,14.32642,-20.008091,-5.8354025,-1316.1879,179.62924,0.0
0.367,14.322479,-20.036644,-5.835437,-1329.8107,179.62924,0.0
0.36800003,14.357993,-20.013344,-5.7609673,-1333.7184,179.62924,0.0
0.36900002,14.320798,-20.022078,-5.867851,-1331.7671,179.62924,0.0
0.37,14.334729,-20.058762,-5.8125973,-1347.963,179.62924,0.0
0.37100002,14.336401,-20.024977,-5.9006124,-1329.3857,179.62924,0.0
0.372,14.314071,-20.03851,-5.792039,-1345.8917,179.62924,0.0
0.37300003,14.320187,-20.030634,-5.736513,-1356.7847,179.62924,0.0
0.374,14.310367,-20.04016,-5.783574,-1344.2899,179.62924,0.0
0.37500003,14.314965,-20.065063,-5.7424,-1361.0876,179.62924,0.0
0.37600002,14.320366,-20.045198,-5.8227,-1357.6819,179.62924,0.0
0.377,14.310618,-20.051489,-5.741722,-1355.5607,179.62924,0.0
0.37800002,14.3115635,-20.049185,-5.7822595,-1366.4286,179.62924,0.0
0.379,14.3352165,-20.083,-5.76723,-1373.3057,179.62924,0.0
0.38000003,14.3126335,-20.081593,-5.7848587,-1366.4713,179.62924,0.0
0.381,14.324547,-20.06804,-5.7920446,-1365.5688,179.62924,0.0
0.38200003,14.315999,-20.075176,-5.7580247,-1386.407,179.62924,0.0
0.38300002,14.302642,-20.08824,-5.7561965,-1385.1444,179.62924,0.0
0.384,14.32753,-20.100012,-5.776042,-1379.6985,179.62924,0.0
0.38500002,14.272409,-20.068413,-5.767865,-1383.9359,179.62924,0.0
0.386,14.316505,-20.090897,-5.8090897,-1378.2566,179.62924,0.0
0.38700002,14.294395,-20.07737,-5.736249,-1385.8489,179.62924,0.0
0.388,14.320217,-20.115126,-5.6832185,-1403.0154,179.62924,0.0
0.38900003,14.316912,-20.09355,-5.7338076,-1394.4651,179.62924,0.0
0.39000002,14.302792,-20.11579,-5.6493654,-1390.1699,179.62924,0.0
0.39100003,14.274434,-20.139994,-5.7227244,-1406.4454,179.62924,0.0
0.39200002,14.333975,-20.123285,-5.714723,-1393.0422,179.62924,0.0
0.393,14.306973,-20.095434,-5.7463923,-1410.4978,179.62924,0.0
0.39400002,14.288394,-20.123018,-5.720511,-1392.2689,179.62924,0.0
0.395,14.277319,-20.129446,-5.757015,-1410.2626,179.62924,0.0
0.39600003,14.286328,-20.126009,-5.6972294,-1410.4972,179.62924,0.0
0.397,14.313938,-20.114708,-5.7140055,-1418.6927,179.62924,0.0
0.39800003,14.284198,-20.142073,-5.666295,-1413.7448,179.62924,0.0
0.39900002,14.283854,-20.131767,-5.706761,-1417.8846,179.62924,0.0
