time,iqs,ids,torque,rpm,vqs,vds
0.164,12.399694,-21.955086,-4.827003,-650.8154,179.62924,0.0
0.165,12.477058,-21.429148,-4.0765715,-652.7606,179.62924,0.0
0.16600001,12.789261,-21.022367,-3.80701,-662.33936,179.62924,0.0
0.16700001,13.226602,-20.77659,-4.164484,-659.14514,179.62924,0.0
0.16800001,13.703536,-20.74754,-4.962186,-668.77094,179.62924,0.0
0.16900001,14.140267,-20.96614,-6.101693,-666.675,179.62924,0.0
0.17,14.467612,-21.323368,-7.2765265,-672.886,179.62924,0.0
0.171,14.591504,-21.79407,-8.250722,-673.6826,179.62924,0.0
0.172,14.478522,-22.250435,-8.847468,-678.3997,179.62924,0.0
0.17300001,14.180817,-22.60389,-8.968028,-678.53723,179.62924,0.0
0.17400001,13.794971,-22.797764,-8.538696,-685.32385,179.62924,0.0
0.17500001,13.3657255,-22.811249,-7.729184,-694.8759,179.62924,0.0
0.17600001,12.960506,-22.62504,-6.730142,-693.5008,179.62924,0.0
0.177,12.704969,-22.267344,-5.7310905,-695.27185,179.62924,0.0
0.178,12.645192,-21.85689,-4.945335,-702.7875,179.62924,0.0
0.179,12.760133,-21.47314,-4.4965,-701.9209,179.62924,0.0
0.18,13.041174,-21.197435,-4.4811077,-706.8142,179.62924,0.0
0.18100001,13.413464,-21.056215,-4.8987,-711.3273,179.62924,0.0
0.18200001,13.796171,-21.128609,-5.6125517,-708.25085,179.62924,0.0
0.18300001,14.094813,-21.345848,-6.4572234,-716.58075,179.62924,0.0
0.18400002,14.272594,-21.667704,-7.3055687,-725.3519,179.62924,0.0
0.185,14.294774,-22.035286,-7.857683,-724.9437,179.62924,0.0
0.186,14.16427,-22.347645,-8.133911,-720.1757,179.62924,0.0
0.187,13.861801,-22.597708,-7.9916286,-738.7236,179.62924,0.0
0.18800001,13.532587,-22.669851,-7.5840173,-724.15027,179.62924,0.0
0.18900001,13.216848,-22.595476,-6.88693,-738.3676,179.62924,0.0
0.19000001,12.974296,-22.384968,-6.142192,-741.47943,179.62924,0.0
0.19100001,12.842566,-22.096954,-5.536284,-741.53204,179.62924,0.0
0.192,12.854549,-21.808655,-5.0727077,-746.87115,179.62924,0.0
0.193,12.999625,-21.535114,-4.9273496,-749.33167,179.62924,0.0
0.194,13.266894,-21.390913,-5.0768185,-751.4387,179.62924,0.0
0.19500001,13.553194,-21.357029,-5.519388,-763.796,179.62924,0.0
0.19600001,13.827275,-21.477598,-6.0983715,-754.36566,179.62924,0.0
0.19700001,13.990612,-21.685316,-6.700914,-762.49524,179.62924,0.0
0.19800001,14.03856,-21.954683,-7.1745086,-758.77045,179.62924,0.0
0.19900002,13.985275,-22.218533,-7.482116,-764.0187,179.62924,0.0
0.2,13.841039,-22.414455,-7.4562635,-779.2498,179.62924,0.0
0.201,13.592364,-22.526005,-7.204937,-772.20917,179.62924,0.0
0.202,13.34558,-22.517282,-6.8162546,-776.3862,179.62924,0.0
0.20300001,13.148814,-22.392502,-6.2703524,-781.75714,179.62924,0.0
0.20400001,13.026295,-22.203213,-5.7898664,-786.6739,179.62924,0.0
0.20500001,12.997366,-21.985498,-5.492387,-791.5939,179.62924,0.0
0.20600002,13.079699,-21.776546,-5.2780085,-800.0427,179.62924,0.0
0.20700002,13.243127,-21.647629,-5.4056187,-802.7654,179.62924,0.0
0.208,13.446028,-21.616716,-5.619734,-796.8534,179.62924,0.0
0.209,13.64475,-21.650911,-5.9313145,-809.6112,179.62924,0.0
0.21000001,13.780015,-21.785025,-6.368918,-804.5988,179.62924,0.0
0.21100001,13.845967,-21.991514,-6.7448354,-805.0564,179.62924,0.0
0.21200001,13.844168,-22.175991,-6.953121,-807.24274,179.62924,0.0
0.21300001,13.732124,-22.324015,-6.971888,-813.06885,179.62924,0.0
0.21400002,13.565177,-22.439901,-6.8334126,-809.1005,179.62924,0.0
0.215,13.388681,-22.435785,-6.581926,-821.7625,179.62924,0.0
0.216,13.230758,-22.357517,-6.2379103,-819.26337,179.62924,0.0
0.21700001,13.157607,-22.226776,-5.918064,-827.411,179.62924,0.0
0.21800001,13.112236,-22.07611,-5.671786,-826.3522,179.62924,0.0
0.21900001,13.156763,-21.942513,-5.5923376,-832.1367,179.62924,0.0
0.22000001,13.273689,-21.846352,-5.5704474,-827.31146,179.62924,0.0
0.22100002,13.407096,-21.813128,-5.7486033,-837.1584,179.62924,0.0
0.22200002,13.526601,-21.834246,-5.966333,-840.2494,179.62924,0.0
0.223,13.6505785,-21.937895,-6.265786,-837.9705,179.62924,0.0
0.224,13.707035,-22.058493,-6.4708333,-846.1827,179.62924,0.0
0.22500001,13.68242,-22.185736,-6.632747,-843.7859,179.62924,0.0
0.22600001,13.608352,-22.294346,-6.6032333,-854.11115,179.62924,0.0
0.22700001,13.511473,-22.344791,-6.583452,-849.5547,179.62924,0.0
0.22800002,13.384774,-22.36722,-6.361879,-859.1783,179.62924,0.0
0.22900002,13.274596,-22.338291,-6.107682,-861.76733,179.62924,0.0
0.23,13.225887,-22.249706,-5.949909,-866.42664,179.62924,0.0
0.231,13.197874,-22.147251,-5.7988486,-866.339,179.62924,0.0
0.23200001,13.237253,-22.05289,-5.7315073,-871.8849,179.62924,0.0
0.23300001,13.295484,-21.989525,-5.7091203,-869.2578,179.62924,0.0
0.23400001,13.385865,-21.963152,-5.835107,-869.80347,179.62924,0.0
0.23500001,13.47829,-21.994816,-5.97262,-890.1531,179.62924,0.0
0.23600002,13.528364,-22.052853,-6.147747,-885.5387,179.62924,0.0
0.23700002,13.572771,-22.137028,-6.283266,-881.2524,179.62924,0.0
0.238,13.562412,-22.237066,-6.3744016,-893.9351,179.62924,0.0
0.23900001,13.504802,-22.290321,-6.355745,-902.43524,179.62924,0.0
0.24000001,13.455546,-22.327309,-6.3103924,-900.9797,179.62924,0.0
0.24100001,13.365751,-22.354235,-6.176318,-898.62616,179.62924,0.0
0.24200001,13.301845,-22.315142,-6.03366,-899.26605,179.62924,0.0
0.24300002,13.258661,-22.259172,-5.9303718,-903.55383,179.62924,0.0
0.24400002,13.267013,-22.186802,-5.814706,-907.63464,179.62924,0.0
0.245,13.292224,-22.135727,-5.759201,-930.9445,179.62924,0.0
0.246,13.314156,-22.11035,-5.805322,-919.92554,179.62924,0.0
0.24700001,13.368512,-22.098373,-5.882476,-913.8729,179.62924,0.0
0.24800001,13.419203,-22.128109,-5.95239,-915.6071,179.62924,0.0
0.24900001,13.457086,-22.166893,-6.0622888,-927.04144,179.62924,0.0
0.25,13.474591,-22.198214,-6.116888,-927.3971,179.62924,0.0
0.25100002,13.477982,-22.294928,-6.1783633,-936.894,179.62924,0.0
0.252,13.424579,-22.312733,-6.17467,-926.4907,179.62924,0.0
0.25300002,13.398226,-22.335596,-6.0788946,-934.907,179.62924,0.0
0.254,13.338899,-22.328384,-6.02409,-943.23083,179.62924,0.0
